video_id,views,likes,comment_count
-0CMnp02rNY,6,6,6
-0NYY8cqdiQ,1,1,1
-1Hm41N0dUs,3,3,3
-1yT-K3c6YI,4,4,4
-2RVw2_QyxQ,3,3,3
-2aVkGcI7ZA,4,4,4
-2b4qSoMnKE,2,2,2
-2wRFv-mScQ,4,4,4
-35jibKqbEo,8,8,8
-37nIo_tLnk,8,8,8
-39ysKKpE7I,1,1,1
-3h4Xt9No9o,10,10,10
-3nEHRN6IPg,5,5,5
-4s2MeUgduo,13,13,13
-5aaJJQFvOg,11,11,11
-66xHRJSPxs,4,4,4
-7AZX5Xtiks,4,4,4
-7UzyXO-mzk,6,6,6
-7_ATlZ-zMc,15,15,15
-8ZHXaGILlc,1,1,1
-9OfAHgdV8Y,1,1,1
-9rdDeWzvsU,1,1,1
-AY-HC4sUGU,2,2,2
-BDImdAfodA,6,6,6
-BQJo3vK8O8,11,11,11
-C5q3oir8gA,7,7,7
-CS84oCtjvc,3,3,3
-C_rvt0SwLE,8,8,8
-EL8TuMsb-k,14,14,14
-El8z4uy5Ac,6,6,6
-HoAafTYR9w,5,5,5
-HrakxB4Klo,5,5,5
-IqpbDJFbZA,4,4,4
-JVITToppE0,2,2,2
-KB5QbOS4s4,3,3,3
-L4RYm9Tq7I,5,5,5
-NEhvlJA5q8,5,5,5
-NIP2zgVsRY,7,7,7
-NcG4L0pwvE,6,6,6
-OK9i1_YYYc,3,3,3
-Q5pHm2Cfq4,3,3,3
-QPdRfqTnt4,1,1,1
-QR-TB_k20M,1,1,1
-Qv6p6pTz5I,7,7,7
-QxZv_wJ1aA,1,1,1
-R9F2_D76TE,12,12,12
-RUbNqpwOt8,4,4,4
-RmUADCWI4A,7,7,7
-SIp6xSP7ds,8,8,8
-SJywvgaJEI,5,5,5
-TQpVg4vcrk,9,9,9
-V1Oo7srGf0,3,3,3
-VgOGzBcMIg,7,7,7
-W6v2_0evUU,3,3,3
-WRcZ9xHMuE,2,2,2
-WedqN1iYbM,5,5,5
-YRlVB6Qgug,7,7,7
-_jlqATo9eo,8,8,8
-a12nTEcoqE,1,1,1
-cQoGwpDBPs,1,1,1
-e-xXN-tcFU,23,23,23
-gfGtIHfU7A,4,4,4
-hI5Ds3IgVM,3,3,3
-hg9t3PdhFE,1,1,1
-hg_VRwS5RI,3,3,3
-kETYvHON_I,7,7,7
-kTWIm7m4Uw,27,27,27
-knTMViJqMU,4,4,4
-l7TOYJZBtI,1,1,1
-lgcAySBbTA,5,5,5
-m3L9lA5_tA,3,3,3
-mvfLtZTe3Q,5,5,5
-nbm90xAhWY,6,6,6
-o7zywbiFVI,6,6,6
-oCQn2VkStI,7,7,7
-oOlAGKBXnA,7,7,7
-oXybog2IuI,6,6,6
-p-PToD2URA,11,11,11
